Age	Temperature
0.972	-1.99636744420151
0.974	-1.83656309979237
0.976	-1.83968679850639
0.978	-1.74436413419279
0.98	-1.77863975448524
0.982	-1.6290164031518
0.984	-1.64023204571186
0.986	-1.86736112812967
0.988	-1.85944711225595
0.99	-1.83028622291759
0.992	-1.84404351251474
0.994	-1.92266551955769
0.996	-1.85515861364177
0.998	-1.73339040702305
1	-1.66237039649521
1.002	-1.65282489119047
1.004	-1.67691391028055
1.006	-1.82333611591165
1.008	-1.76197107087749
1.01	-1.84838106290056
1.012	-1.87219887746602
1.014	-1.847762584261
1.016	-1.88239747936836
1.018	-1.72993932701369
1.02	-1.72439594276845
1.022	-1.56595331778497
1.024	-1.52521308818691
1.026	-1.62676149329103
1.028	-1.56437779950376
1.03	-1.66529283044898
1.032	-1.72993932701369
1.034	-1.91291074635358
1.036	-1.9942779431
1.038	-2.07025107344204
1.04	-2.0664758546889
1.042	-1.94962996034946
1.044	-2.04043088557032
1.046	-2.01237010477427
1.048	-1.9974100745211
1.05	-2.03003478839182
1.052	-2.004152803988
1.054	-1.98533429543126
1.056	-1.97468050625541
1.058	-1.86736112812967
1.06	-1.74572839929901
1.062	-1.6101049485028
1.064	-1.67908066562556
1.066	-1.56516578329293
1.068	-1.47576078632677
1.07	-1.24552093888536
1.072	-1.36281747935503
1.074	-1.32551054663701
1.076	-1.46735657677209
1.078	-1.59631830318438
1.08	-1.51952901042505
1.082	-1.66237039649521
1.084	-1.79830756642053
1.086	-1.74026141616961
1.088	-1.79179197004259
1.09	-1.86796719505412
1.092	-1.78194298153565
1.094	-1.75049032660584
1.096	-1.83028622291759
1.098	-1.89425452021976
1.1	-2.07353692275009
1.102	-1.95678726419302
1.104	-1.7891744576764
1.106	-1.89012186885567
1.108	-1.73820446840967
1.11	-1.85944711225595
1.112	-1.60705361831156
1.114	-1.79830756642053
1.116	-1.63276584944574
1.118	-1.78589348725291
1.12	-1.78194298153565
1.122	-1.99532340076668
1.124	-2.12737740728193
1.126	-2.0846795877428
1.128	-2.0139008861267
1.13	-1.88060576961206
1.132	-2.0087860615248
1.134	-2.04288392105933
1.136	-2.00621553539632
1.138	-1.82713300877453
1.14	-1.79505479575241
1.142	-1.81761404743162
1.144	-1.8390628435395
1.146	-1.80478301501741
1.148	-1.76866912665619
1.15	-1.76532520794124
1.152	-1.7626427166312
1.154	-1.66383247344253
1.156	-1.45890563352898
1.158	-1.63426257354024
1.16	-1.4246314967169
1.162	-1.51627089680072
1.164	-1.41594461359631
1.166	-1.49325818024834
1.168	-1.44186294086523
1.17	-1.42203042527752
1.172	-1.6513498770245
1.174	-1.52521308818691
1.176	-1.56043113586842
1.178	-1.56280048343608
1.18	-1.52683299705054
1.182	-1.573803984241
1.184	-1.5769317081557
1.186	-1.57302093450142
1.188	-1.98692004709469
1.19	-2.01542853059269
1.192	-2.08005990830365
1.194	-2.11566758875042
1.196	-2.14430347278168
1.198	-2.0453284438875
1.2	-2.09879249298588
1.202	-2.08144926863925
1.204	-2.03450876539216
1.206	-1.95514104468895
1.208	-1.96225104668306
1.21	-1.78194298153565
1.212	-1.84280069471068
1.214	-1.18289102578725
1.216	-1.82396992015716
1.218	-1.8353108715775
1.22	-1.6290164031518
1.222	-1.66163871267467
1.224	-1.50069452319509
1.226	-1.55488689442951
1.228	-1.62676149329103
1.23	-1.53087478328621
1.232	-1.27983876399389
1.234	-1.32182674900961
1.236	-1.40282491032811
1.238	-1.18289102578725
1.24	-1.47994541319624
1.242	-1.47576078632677
1.244	-1.44186294086523
1.246	-1.91751467350571
1.248	-2.01237010477427
1.25	-2.09653739640538
1.252	-2.08513974714266
1.254	-2.07353692275009
1.256	-2.18058680016713
1.258	-1.89425452021976
1.26	-1.90012608614563
1.262	-1.80155030014571
1.264	-1.77996226177007
1.266	-1.75860669727337
1.268	-1.76866912665619
1.27	-1.77863975448524
1.272	-1.68555789559121
1.274	-1.67835884092875
1.276	-1.67111708267935
1.278	-1.57302093450142
1.28	-1.47156451381324
1.282	-1.51952901042505
1.284	-1.57066909786719
1.286	-1.77532638175976
1.288	-1.74504647329862
1.29	-1.74504647329862
1.292	-1.90012608614563
1.294	-1.85208374789437
1.296	-1.87940938417352
1.298	-1.90595987223829
1.3	-1.59631830318438
1.302	-1.864325005961
1.304	-1.82713300877453
1.306	-1.84280069471068
1.308	-1.74504647329862
1.31	-1.63799675809347
1.312	-1.61390919770643
1.314	-1.64172006362869
1.316	-1.56752703947555
1.318	-1.63201683317574
1.32	-1.78392005539067
1.322	-1.80993456472135
1.324	-1.88834503212387
1.326	-1.86736112812967
1.328	-1.91751467350571
1.33	-2.09653739640538
1.332	-1.69271439392199
1.334	-1.90304769278103
1.336	-1.8353108715775
1.338	-1.76197107087749
1.34	-1.72439594276845
1.342	-1.68555789559121
1.344	-1.58471974487984
1.346	-1.67111708267935
1.348	-1.75184716763159
1.35	-1.3079422508464
1.352	-1.69982848303091
1.354	-1.4246314967169
1.356	-1.22714537747934
1.358	-0.928912177781257
1.36	-1.08079455081722
1.362	-1.53329438497076
1.364	-1.31721092026835
1.366	-1.51708611249386
1.368	-1.67619080403448
1.37	-1.70124622468149
1.372	-1.72578429084405
1.374	-1.80800572911573
1.376	-1.79505479575241
1.378	-1.9117560206815
1.38	-1.98374533785062
1.382	-1.87940938417352
1.384	-1.94408232802194
1.386	-1.85208374789437
1.388	-1.77532638175976
1.39	-1.68196369700149
1.392	-1.21250889784594
1.394	-1.61162796909711
1.396	-1.50891330763057
1.398	-1.55329876651718
1.4	-1.42029400106175
1.402	-1.34926384605313
1.404	-1.36281747935503
1.406	-1.67111708267935
1.408	-1.72091776393873
1.41	-1.94017716384219
1.412	-1.86736112812967
1.414	-1.94296840339287
1.416	-1.90770266225909
1.418	-1.78523608105624
1.42	-1.79830756642053
1.422	-1.81121846051147
1.424	-1.60628968302091
1.426	-1.41594461359631
1.428	-1.65282489119047
1.43	-1.36281747935503
1.432	-1.38959749636706
1.434	-1.3079422508464
1.436	-0.643103187657287
1.438	-0.894971749590078
1.44	-1.31721092026835
1.442	-0.877813712216
1.444	-1.11197337173846
1.446	-1.16288860512874
1.448	-1.08079455081722
1.45	-1.23199878409076
1.452	-1.74163064379595
1.454	-1.94296840339287
1.456	-1.97949241552982
1.458	-2.01491966408194
1.46	-2.01491966408194
1.462	-1.95128711677876
1.464	-1.90595987223829
1.466	-1.67111708267935
1.468	-1.82713300877453
1.47	-1.34016713841401
1.472	-1.79505479575241
1.474	-1.5885970452492
1.476	-1.52521308818691
1.478	-1.45890563352898
1.48	-1.41158331532391
1.482	-1.36281747935503
1.484	-1.27983876399389
1.486	-0.917654167723596
1.488	-1.17291563632987
1.49	-1.0755517786941
1.492	-0.973393258224702
1.494	-1.15280977656807
1.496	-1.31721092026835
1.498	-1.30235730994482
1.5	-1.28737680171478
1.502	-1.27226876541584
1.504	-1.25703256999467
1.506	-1.24166758350889
1.508	-1.38071912728222
1.51	-1.50891330763057
1.512	-1.62676149329103
1.514	-1.73476792888369
1.516	-1.66602236434341
1.518	-1.59400658753779
1.52	-1.50069452319509
1.522	-1.68196369700149
1.524	-1.38959749636706
1.526	-1.58083130539711
1.528	-1.65650486567277
1.53	-1.99584559919328
1.532	-1.73476792888369
1.534	-1.90886264228558
1.536	-1.64913411167978
1.538	-1.76197107087749
1.54	-1.864325005961
1.542	-1.82713300877453
1.544	-1.53570988906526
1.546	-1.61314922827612
1.548	-1.68555789559121
1.55	-1.57302093450142
1.552	-1.69982848303091
1.554	-1.81442122726607
1.556	-1.74163064379595
1.558	-1.74504647329862
1.56	-1.74845197516459
1.562	-1.27983876399389
1.564	-1.53731795068975
1.566	-1.50891330763057
1.568	-1.44186294086523
1.57	-1.54932054214945
1.572	-1.87038760915745
1.574	-1.88834503212387
1.576	-1.8582237666233
1.578	-1.9117560206815
1.58	-1.87219887746602
1.582	-1.8315447477555
1.584	-1.788519071183
1.586	-1.63799675809347
1.588	-1.64617369602992
1.59	-1.654298176552
1.592	-1.66237039649521
1.594	-1.66966359363035
1.596	-1.6776365891962
1.598	-1.68555789559121
1.6	-1.72786368434215
1.602	-1.59631830318438
1.604	-1.67835884092875
1.606	-1.37179250582149
1.608	-1.39842776556804
1.61	-1.55329876651718
1.612	-1.35379389511535
1.614	-1.62676149329103
1.616	-1.48411841329648
1.618	-1.72786368434215
1.62	-1.6229945605282
1.622	-1.68555789559121
1.624	-1.52521308818691
1.626	-1.54932054214945
1.628	-1.61390919770643
1.63	-1.77067058064198
1.632	-1.69982848303091
1.634	-1.77863975448524
1.636	-1.2703712626414
1.638	-1.49491393563485
1.64	-1.37179250582149
1.642	-1.34926384605313
1.644	-1.35379389511535
1.646	-1.69271439392199
1.648	-1.49242960864477
1.65	-1.90595987223829
1.652	-2.03003478839182
1.654	-1.88834503212387
1.656	-2.00466901327261
1.658	-1.6834026543046
1.66	-1.78194298153565
1.662	-1.97307007929237
1.664	-1.89425452021976
1.666	-1.83781375672947
1.668	-1.7773156238925
1.67	-1.94017716384219
1.672	-2.00981182146421
1.674	-1.72300592473199
1.676	-1.87038760915745
1.678	-1.6689362059725
1.68	-1.63426257354024
1.682	-1.57458658632691
1.684	-1.51136997009863
1.686	-1.4461412621159
1.688	-1.57302093450142
1.69	-1.52925943705668
1.692	-1.48411841329648
1.694	-1.48994111638382
1.696	-1.68555789559121
1.698	-1.2026875012645
1.7	-1.67111708267935
1.702	-1.65650486567277
1.704	-1.90595987223829
1.706	-2.03003478839182
1.708	-1.90304769278103
1.71	-1.75523206892809
1.712	-1.68555789559121
1.714	-1.52277979859861
1.716	-1.53087478328621
1.718	-1.3410790089637
1.72	-1.12738506928386
1.722	-1.50069452319509
1.724	-1.66383247344253
1.726	-1.73476792888369
1.728	-1.64172006362869
1.73	-1.54133015296539
1.732	-1.5885970452492
1.734	-1.56909896577116
1.736	-1.34926384605313
1.738	-1.73614378955962
1.74	-2.02503100871436
1.742	-1.95678726419302
1.744	-1.81442122726607
1.746	-1.67835884092875
1.748	-1.99949110027968
1.75	-1.73132100695268
1.752	-1.38071912728222
1.754	-1.83028622291759
1.756	-1.45890563352898
1.758	-1.19083425978603
1.76	-0.877813712216
1.762	-0.981087309285627
1.764	-1.08079455081722
1.766	-1.32643026602174
1.768	-1.14267899489838
1.77	-1.36281747935503
1.772	-1.34016713841401
1.774	-1.31721092026835
1.776	-1.35379389511535
1.778	-1.27511126530325
1.78	-1.19281492898283
1.782	-1.46735657677209
1.784	-1.69982848303091
1.786	-1.71042042084758
1.788	-1.72091776393873
1.79	-1.88834503212387
1.792	-2.03003478839182
1.794	-2.04484021950624
1.796	-1.65282489119047
1.798	-1.85208374789437
1.8	-1.68196369700149
1.802	-1.51708611249386
1.804	-1.62826520366849
1.806	-1.73132100695268
1.808	-1.59631830318438
1.81	-1.69708487565228
1.812	-1.43209558059235
1.814	-1.42128083906548
1.816	-1.43209558059235
1.818	-1.56606067404907
1.82	-1.67012625341407
1.822	-1.59044365351373
1.824	-1.50574332700771
1.826	-1.62385164273961
1.828	-1.43209558059235
1.83	-2.2826866788356
1.832	-1.55320847776111
1.834	-1.5923754807774
1.836	-1.63043224915172
1.838	-2.09365552498786
1.84	-1.95603938855286
1.842	-2.17318511372978
1.844	-1.97166441912126
1.846	-1.88083671315712
1.848	-1.79904543205124
1.85	-1.74496895557123
1.852	-1.62385164273961
1.854	-1.81514774097367
1.856	-1.46936636660931
1.858	-1.63791201114835
1.86	-1.73812648040539
1.862	-1.87709384801777
1.864	-1.98302202357583
1.866	-1.6048648075074
1.868	-1.68816517475373
1.87	-1.55618492922136
1.872	-1.75768736185342
1.874	-1.63604615622608
1.876	-1.63043224915172
1.878	-1.62385164273961
1.88	-1.41584562552691
1.882	-1.60963730478523
1.884	-1.45350335894419
1.886	-1.39942816853306
1.888	-1.53622174232643
1.89	-1.30899799761513
1.892	-1.43747518271954
1.894	-1.27973145956208
1.896	-1.55122064947815
1.898	-1.58850904835383
1.9	-1.76608608608643
1.902	-1.80712779786914
1.904	-1.84660892357596
1.906	-2.02810559657637
1.908	-2.09365552498786
1.91	-1.9352064433782
1.912	-1.86197229684734
1.914	-1.81514774097367
1.916	-1.82548080898763
1.918	-1.83492635000968
1.92	-1.99617772326291
1.922	-1.56606067404907
1.924	-1.68547632748022
1.926	-1.79498075235615
1.928	-1.73210531092683
1.93	-1.50574332700771
1.932	-1.48506520286184
1.934	-1.44283632181316
1.936	-1.37727593371259
1.938	-1.42669747839395
1.94	-1.71472619383065
1.942	-1.39942816853306
1.944	-1.5382308119929
1.946	-1.66557474674611
1.948	-1.81514774097367
1.95	-2.02182880579657
1.952	-2.05688966077822
1.954	-1.68816517475373
1.956	-1.7234483844118
1.958	-1.61723750520722
1.96	-1.65825741340132
1.962	-1.76189472159051
1.964	-1.62385164273961
1.966	-1.61439258556423
1.968	-1.58074280216874
1.97	-1.42128083906548
1.972	-1.20134425831366
1.974	-1.22581951832274
1.976	-1.22581951832274
1.978	-1.36608673556027
1.98	-1.48610597913108
1.982	-1.59815431847
1.984	-1.70063422536618
1.986	-1.79498075235615
1.988	-2.25886758861674
1.99	-1.84660892357596
1.992	-1.86197229684734
1.994	-1.98962761369651
1.996	-1.57586624271236
1.998	-1.89932764587695
2	-1.65181938731086
2.002	-1.88456463899934
2.004	-1.69708487565228
2.006	-1.56606067404907
2.008	-1.60007505742494
2.01	-1.48506520286184
2.012	-1.77026149086975
2.014	-1.7492245144287
2.016	-1.31247743170629
2.018	-1.37727593371259
2.02	-1.35482175270181
2.022	-1.18898678710495
2.024	-1.04768797272039
2.026	-1.30899799761513
2.028	-1.24637371357979
2.03	-1.51086780741267
2.032	-1.39391828693087
2.034	-1.71472619383065
2.036	-1.71472619383065
2.038	-1.74326221550101
2.04	-1.82310554350507
2.042	-1.71734972074887
2.044	-1.36608673556027
2.046	-1.34916074871513
2.048	-1.3320632382178
2.05	-1.52106296471248
2.052	-1.44283632181316
2.054	-1.32056910843062
2.056	-1.20749297681699
2.058	-1.49544037899293
2.06	-1.6115414810443
2.062	-1.96964330863703
2.064	-1.74069725913294
2.066	-2.00911259146511
2.068	-2.04661395238287
2.07	-2.04965207213694
2.072	-2.1267915371133
2.074	-1.99290958649129
2.076	-1.98302202357583
2.078	-1.84660892357596
2.08	-2.01867013215788
2.082	-1.84660892357596
2.084	-1.92102988966894
2.086	-1.79090036101486
2.088	-1.94220806732845
2.09	-1.36608673556027
2.092	-1.44283632181316
2.094	-1.60199303011896
2.096	-1.45880933095075
2.098	-1.35482175270181
2.1	-0.966375442509092
2.102	-1.20134425831366
2.104	-1.30667451134192
2.106	-1.4049193273936
2.108	-1.71472619383065
2.11	-1.52106296471248
2.112	-1.5382308119929
2.114	-1.55618492922136
2.116	-1.47985043723116
2.118	-1.3354965106497
2.12	-1.4449756160936
2.122	-1.54623871612926
2.124	-1.51086780741267
2.126	-1.56606067404907
2.128	-1.7826923018908
2.13	-1.78516135022254
2.132	-1.59815431847
2.134	-1.38061795973665
2.136	-1.07411962754561
2.138	-0.88198477992274
2.14	-0.433634897905485
2.142	-1.22581951832274
2.144	-1.45350335894419
2.146	-1.66100645753803
2.148	-1.77442097144643
